Date,Year,Quarter,Quarter (Q),Quarter & Year,Month,Month Name,Month & Year,Week of Year,Week of Year (W),Day of Week,Day Name
20/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,3,Wednesday
21/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,4,Thursday
22/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,5,Friday
23/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,6,Saturday
24/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,30,Week 30,7,Sunday
25/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,1,Monday
26/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,2,Tuesday
27/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,3,Wednesday
28/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,4,Thursday
29/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,5,Friday
30/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,6,Saturday
31/07/2016,2016,3,Q3,2016 - Q3,7,Jul,Jul 2016,31,Week 31,7,Sunday
01/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,32,Week 32,1,Monday
02/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,32,Week 32,2,Tuesday
03/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,32,Week 32,3,Wednesday
04/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,32,Week 32,4,Thursday
05/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,32,Week 32,5,Friday
06/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,32,Week 32,6,Saturday
07/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,32,Week 32,7,Sunday
08/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,33,Week 33,1,Monday
09/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,33,Week 33,2,Tuesday
10/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,33,Week 33,3,Wednesday
11/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,33,Week 33,4,Thursday
12/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,33,Week 33,5,Friday
13/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,33,Week 33,6,Saturday
14/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,33,Week 33,7,Sunday
15/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,34,Week 34,1,Monday
16/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,34,Week 34,2,Tuesday
17/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,34,Week 34,3,Wednesday
18/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,34,Week 34,4,Thursday
19/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,34,Week 34,5,Friday
20/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,34,Week 34,6,Saturday
21/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,34,Week 34,7,Sunday
22/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,35,Week 35,1,Monday
23/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,35,Week 35,2,Tuesday
24/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,35,Week 35,3,Wednesday
25/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,35,Week 35,4,Thursday
26/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,35,Week 35,5,Friday
27/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,35,Week 35,6,Saturday
28/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,35,Week 35,7,Sunday
29/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,36,Week 36,1,Monday
30/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,36,Week 36,2,Tuesday
31/08/2016,2016,3,Q3,2016 - Q3,8,Aug,Aug 2016,36,Week 36,3,Wednesday
01/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,36,Week 36,4,Thursday
02/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,36,Week 36,5,Friday
03/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,36,Week 36,6,Saturday
04/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,36,Week 36,7,Sunday
05/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,37,Week 37,1,Monday
06/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,37,Week 37,2,Tuesday
07/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,37,Week 37,3,Wednesday
08/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,37,Week 37,4,Thursday
09/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,37,Week 37,5,Friday
10/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,37,Week 37,6,Saturday
11/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,37,Week 37,7,Sunday
12/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,38,Week 38,1,Monday
13/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,38,Week 38,2,Tuesday
14/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,38,Week 38,3,Wednesday
15/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,38,Week 38,4,Thursday
16/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,38,Week 38,5,Friday
17/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,38,Week 38,6,Saturday
18/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,38,Week 38,7,Sunday
19/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,39,Week 39,1,Monday
20/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,39,Week 39,2,Tuesday
21/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,39,Week 39,3,Wednesday
22/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,39,Week 39,4,Thursday
23/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,39,Week 39,5,Friday
24/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,39,Week 39,6,Saturday
25/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,39,Week 39,7,Sunday
26/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,40,Week 40,1,Monday
27/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,40,Week 40,2,Tuesday
28/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,40,Week 40,3,Wednesday
29/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,40,Week 40,4,Thursday
30/09/2016,2016,3,Q3,2016 - Q3,9,Sep,Sep 2016,40,Week 40,5,Friday
01/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,1,Week 1,5,Friday
02/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,1,Week 1,6,Saturday
03/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,1,Week 1,7,Sunday
04/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,1,Monday
05/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,2,Tuesday
06/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,3,Wednesday
07/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,4,Thursday
08/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,5,Friday
09/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,6,Saturday
10/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,2,Week 2,7,Sunday
11/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,1,Monday
12/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,2,Tuesday
13/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,3,Wednesday
14/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,4,Thursday
15/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,5,Friday
16/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,6,Saturday
17/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,3,Week 3,7,Sunday
18/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,1,Monday
19/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,2,Tuesday
20/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,3,Wednesday
21/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,4,Thursday
22/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,5,Friday
23/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,6,Saturday
24/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,4,Week 4,7,Sunday
25/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,1,Monday
26/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,2,Tuesday
27/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,3,Wednesday
28/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,4,Thursday
29/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,5,Friday
30/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,6,Saturday
31/01/2016,2016,1,Q1,2016 - Q1,1,Jan,Jan 2016,5,Week 5,7,Sunday
01/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,1,Monday
02/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,2,Tuesday
03/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,3,Wednesday
04/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,4,Thursday
05/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,5,Friday
06/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,6,Saturday
07/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,7,Sunday
08/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,1,Monday
09/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,2,Tuesday
10/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,3,Wednesday
11/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,4,Thursday
12/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,5,Friday
13/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,6,Saturday
14/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,7,Sunday
15/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,1,Monday
16/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,2,Tuesday
17/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,3,Wednesday
18/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,4,Thursday
19/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,5,Friday
20/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,6,Saturday
21/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,7,Sunday
22/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,1,Monday
23/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,2,Tuesday
24/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,3,Wednesday
25/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,4,Thursday
26/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,5,Friday
27/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,6,Saturday
28/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,7,Sunday
29/02/2016,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,10,Week 10,1,Monday
01/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,2,Tuesday
02/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,3,Wednesday
03/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,4,Thursday
04/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,5,Friday
05/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,6,Saturday
06/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,7,Sunday
07/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,1,Monday
08/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,2,Tuesday
09/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,3,Wednesday
10/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,4,Thursday
11/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,5,Friday
12/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,6,Saturday
13/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,7,Sunday
14/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,1,Monday
15/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,2,Tuesday
16/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,3,Wednesday
17/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,4,Thursday
18/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,5,Friday
19/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,6,Saturday
20/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,7,Sunday
21/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,1,Monday
22/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,2,Tuesday
23/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,3,Wednesday
24/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,4,Thursday
25/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,5,Friday
26/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,6,Saturday
27/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,13,Week 13,7,Sunday
28/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,14,Week 14,1,Monday
29/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,14,Week 14,2,Tuesday
30/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,14,Week 14,3,Wednesday
31/03/2016,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,14,Week 14,4,Thursday
01/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,14,Week 14,5,Friday
02/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,14,Week 14,6,Saturday
03/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,14,Week 14,7,Sunday
04/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,1,Monday
05/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,2,Tuesday
06/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,3,Wednesday
07/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,4,Thursday
08/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,5,Friday
09/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,6,Saturday
10/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,15,Week 15,7,Sunday
11/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,1,Monday
12/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,2,Tuesday
13/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,3,Wednesday
14/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,4,Thursday
15/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,5,Friday
16/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,6,Saturday
17/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,16,Week 16,7,Sunday
18/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,1,Monday
19/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,2,Tuesday
20/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,3,Wednesday
21/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,4,Thursday
22/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,5,Friday
23/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,6,Saturday
24/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,17,Week 17,7,Sunday
25/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,1,Monday
26/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,2,Tuesday
27/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,3,Wednesday
28/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,4,Thursday
29/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,5,Friday
30/04/2016,2016,2,Q2,2016 - Q2,4,Apr,Apr 2016,18,Week 18,6,Saturday
01/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,18,Week 18,7,Sunday
02/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,1,Monday
03/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,2,Tuesday
04/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,3,Wednesday
05/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,4,Thursday
06/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,5,Friday
07/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,6,Saturday
08/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,19,Week 19,7,Sunday
09/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,1,Monday
10/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,2,Tuesday
11/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,3,Wednesday
12/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,4,Thursday
13/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,5,Friday
14/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,6,Saturday
15/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,20,Week 20,7,Sunday
16/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,1,Monday
17/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,2,Tuesday
18/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,3,Wednesday
19/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,4,Thursday
20/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,5,Friday
21/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,6,Saturday
22/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,21,Week 21,7,Sunday
23/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,1,Monday
24/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,2,Tuesday
25/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,3,Wednesday
26/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,4,Thursday
27/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,5,Friday
28/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,6,Saturday
29/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,22,Week 22,7,Sunday
30/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,23,Week 23,1,Monday
31/05/2016,2016,2,Q2,2016 - Q2,5,May,May 2016,23,Week 23,2,Tuesday
01/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,3,Wednesday
02/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,4,Thursday
03/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,5,Friday
04/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,6,Saturday
05/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,23,Week 23,7,Sunday
06/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,1,Monday
07/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,2,Tuesday
08/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,3,Wednesday
09/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,4,Thursday
10/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,5,Friday
11/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,6,Saturday
12/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,24,Week 24,7,Sunday
13/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,1,Monday
14/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,2,Tuesday
15/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,3,Wednesday
16/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,4,Thursday
17/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,5,Friday
18/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,6,Saturday
19/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,25,Week 25,7,Sunday
20/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,1,Monday
21/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,2,Tuesday
22/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,3,Wednesday
23/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,4,Thursday
24/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,5,Friday
25/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,6,Saturday
26/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,26,Week 26,7,Sunday
27/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,27,Week 27,1,Monday
28/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,27,Week 27,2,Tuesday
29/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,27,Week 27,3,Wednesday
30/06/2016,2016,2,Q2,2016 - Q2,6,Jun,Jun 2016,27,Week 27,4,Thursday
